"","GEOID","percent","pop_size","demographic","percent_final"
"44005","6029000911",0.106,238.818,"Asian",0.106
"44006","6029000912",0.139,529.312,"Asian",0.139
"44007","6029000913",0.125,420,"Asian",0.125
"44008","6029000914",0.006,23.712,"Asian",0.006
"44009","6029001001",0.082,369.082,"Asian",0.082
"44010","6029001002",0,0,"Asian",0
"44011","6029001003",0.024,74.712,"Asian",0.024
"44012","6029001101",0.003,19.314,"Asian",0.003
"44013","6029001104",0,0,"Asian",0
"44014","6029001105",0.016,59.008,"Asian",0.016
"44015","6029001106",0,0,"Asian",0
"44016","6029001107",0.005,15.305,"Asian",0.005
"44017","6029001201",0.003,9.126,"Asian",0.003
"44018","6037183701",0.106,352.874,"Asian",0.106
"44019","6037183702",0.136,397.8,"Asian",0.136
"44020","6037183810",0.024,104.856,"Asian",0.024
"44021","6037183820",0.089,296.459,"Asian",0.089
"44022","6037185101",0.118,345.032,"Asian",0.118
"44023","6037185102",0.044,147.488,"Asian",0.044
"44024","6037185202",0.078,318.552,"Asian",0.078
"44025","6037185203",0.081,220.968,"Asian",0.081
"44026","6037185204",0.246,463.464,"Asian",0.246
"44027","6037185310",0.066,201.498,"Asian",0.066
"44028","6037185320",0.027,76.437,"Asian",0.027
"44029","6037186100",0.278,1347.744,"Asian",0.278
"44030","6037186201",0.335,1173.505,"Asian",0.335
"44031","6037186202",0.294,511.266,"Asian",0.294
"44032","6037186203",0.111,344.544,"Asian",0.111
"44033","6037186301",0.05,135.65,"Asian",0.05
"44034","6037186302",0.169,858.858,"Asian",0.169
"44035","6037186401",0.124,377.208,"Asian",0.124
"44036","6037186403",0.189,508.788,"Asian",0.189
"44037","6037186404",0.15,419.25,"Asian",0.15
"44038","6037187101",0.295,879.985,"Asian",0.295
"44039","6037187102",0.218,1000.184,"Asian",0.218
"44040","6037187200",0.137,384.833,"Asian",0.137
"44041","6037187300",0.123,453.624,"Asian",0.123
"44042","6037188100",0.089,341.938,"Asian",0.089
"44043","6037188201",0.115,353.855,"Asian",0.115
"44044","6037188202",0.174,492.768,"Asian",0.174
"44045","6037188300",0.232,867.216,"Asian",0.232
"44046","6037189101",0.202,477.932,"Asian",0.202
"44047","6037189102",0.121,473.11,"Asian",0.121
"44048","6037189201",0.088,265.76,"Asian",0.088
"44049","6037189202",0.106,299.874,"Asian",0.106
"44050","6037189300",0.131,367.455,"Asian",0.131
"44051","6037189400",0.051,159.885,"Asian",0.051
"44052","6037189501",0.04,91.72,"Asian",0.04
"44053","6037189502",0.1,194.8,"Asian",0.1
"44054","6037189600",0.052,195.104,"Asian",0.052
"44055","6037183620",0.061,182.634,"Asian",0.061
"44056","6037189702",0.017,36.057,"Asian",0.017
"44057","6037189703",0.07,127.68,"Asian",0.07
"44058","6037189704",0.041,51.537,"Asian",0.041
"44059","6037189801",0.021,37.086,"Asian",0.021
"44060","6037189802",0.033,63.261,"Asian",0.033
"44061","6037300200",0.356,1912.788,"Asian",0.356
"44062","6037300301",0.212,1355.74,"Asian",0.212
"44063","6037300400",0.245,1437.415,"Asian",0.245
"44064","6037300501",0.241,689.983,"Asian",0.241
"44065","6037300503",0.222,1165.722,"Asian",0.222
"44066","6037300601",0.326,1967.41,"Asian",0.326
"44067","6037300602",0.068,223.788,"Asian",0.068
"44068","6037300701",0.1,515.9,"Asian",0.1
"44069","6037300702",0.095,564.49,"Asian",0.095
"44070","6037300800",0.104,733.616,"Asian",0.104
"44071","6037300901",0.273,1500.408,"Asian",0.273
"44072","6037300902",0.154,330.792,"Asian",0.154
"44073","6037301000",0.114,607.848,"Asian",0.114
"44074","6037301100",0.097,701.116,"Asian",0.097
"44075","6037301203",0.14,602.84,"Asian",0.14
"44076","6037301204",0.148,751.692,"Asian",0.148
"44077","6037301205",0.137,296.194,"Asian",0.137
"44078","6037301206",0.127,680.339,"Asian",0.127
"44079","6037301300",0.059,117.056,"Asian",0.059
"44080","6037301400",0.022,85.536,"Asian",0.022
"44081","6037301501",0.082,153.094,"Asian",0.082
"44082","6037301502",0.072,518.688,"Asian",0.072
"44083","6037301601",0.04,219.84,"Asian",0.04
"44084","6037301602",0.094,394.048,"Asian",0.094
"44085","6037301701",0.147,405.867,"Asian",0.147
"44086","6037301702",0.127,780.796,"Asian",0.127
"44087","6037301801",0.218,1161.722,"Asian",0.218
"44088","6037301802",0.16,839.68,"Asian",0.16
"44089","6037301901",0.204,892.908,"Asian",0.204
"44090","6037301902",0.128,402.304,"Asian",0.128
"44091","6037302002",0.172,676.82,"Asian",0.172
"44092","6037302003",0.126,458.766,"Asian",0.126
"44093","6037302004",0.185,761.645,"Asian",0.185
"44094","6037302102",0.181,1110.797,"Asian",0.181
"44095","6037302103",0.103,526.227,"Asian",0.103
"44096","6037302104",0.258,972.144,"Asian",0.258
"44097","6037302201",0.09,339.21,"Asian",0.09
"44098","6037302202",0.123,664.323,"Asian",0.123
"44099","6037302301",0.2,761,"Asian",0.2
"44100","6037302302",0.135,750.465,"Asian",0.135
"44101","6037302401",0.115,829.265,"Asian",0.115
"44102","6037302503",0.066,260.37,"Asian",0.066
"44103","6037302504",0.1,377,"Asian",0.1
"44104","6037541700",0.008,50.976,"Asian",0.008
"44105","6037541801",0,0,"Asian",0
"44106","6037541802",0.023,119.439,"Asian",0.023
"44107","6037542000",0.011,53.031,"Asian",0.011
"44108","6037542103",0.002,6.102,"Asian",0.002
"44109","6037542104",0.001,4.347,"Asian",0.001
"44110","6037542105",0,0,"Asian",0
"44111","6037542106",0.049,135.338,"Asian",0.049
"44112","6037542200",0.001,6.839,"Asian",0.001
"44113","6037542401",0.011,49.038,"Asian",0.011
"44114","6037542402",0.005,19.34,"Asian",0.005
"44115","6037542501",0.006,26.766,"Asian",0.006
"44116","6037542502",0.001,5.357,"Asian",0.001
"44117","6037542601",0.001,3.514,"Asian",0.001
"44118","6037542602",0,0,"Asian",0
"44119","6037542700",0,0,"Asian",0
"44120","6037542800",0,0,"Asian",0
"44121","6037542900",0.002,6.656,"Asian",0.002
"44122","6037543000",0.019,86.298,"Asian",0.019
