"","GEOID","demographic","percent","pop_size"
"519","37019020508","Other",0.035,97.02
"520","37019020508","White",0.931,2580.732
"521","37019020510","Asian",0.004,10.356
"522","37019020510","Black",0.011,28.479
"523","37019020510","Other",0.056,144.984
"524","37019020510","White",0.93,2407.77
"525","37019020511","Asian",0,0
"526","37019020511","Black",0,0
"527","37019020511","Other",0.069,143.727
"528","37019020511","White",0.931,1939.273
"529","37019020512","Asian",0.007,6.44
"530","37019020512","Black",0,0
"531","37019020512","Other",0.039,35.88
"532","37019020512","White",0.955,878.6
"533","37019020513","Asian",0,0
"534","37019020513","Black",0.369,518.445
"535","37019020513","Other",0.075,105.375
"536","37019020513","White",0.556,781.18
"537","37019020514","Asian",0,0
"538","37019020514","Black",0.004,11.424
"539","37019020514","Other",0.059,168.504
"540","37019020514","White",0.936,2673.216
"541","37019020515","Asian",0,0
"542","37019020515","Black",0.096,399.744
"543","37019020515","Other",0.11,458.04
"544","37019020515","White",0.793,3302.052
"545","37019020516","Asian",0,0
"546","37019020516","Black",0.048,208.848
"547","37019020516","Other",0.024,104.424
"548","37019020516","White",0.928,4037.728
"549","37019020517","Asian",0.034,93.058
"550","37019020517","Black",0.013,35.581
"551","37019020517","Other",0.065,177.905
"552","37019020517","White",0.888,2430.456
"553","37019020518","Asian",0,0
"554","37019020518","Black",0,0
"555","37019020518","Other",0,0
"556","37019020518","White",1,2967
"557","37019020601","Asian",0,0
"558","37019020601","Black",0.285,1372.56
"559","37019020601","Other",0.067,322.672
"560","37019020601","White",0.648,3120.768
"561","37019020602","Asian",0.008,39.28
"562","37019020602","Black",0.137,672.67
"563","37019020602","Other",0.157,770.87
"564","37019020602","White",0.698,3427.18
"565","37019020603","Asian",0,0
"566","37019020603","Black",0.232,810.376
"567","37019020603","Other",0.08,279.44
"568","37019020603","White",0.689,2406.677
"569","37019990100","Asian",0,0
"570","37019990100","Black",0,0
"571","37019990100","Other",0,0
"572","37019990100","White",0,0
"573","37021000100","Asian",0.027,37.8
"574","37021000100","Black",0.219,306.6
