"GEOID","percent","pop_size","race_ethnicity"
6037405101,0.694,3598,"latino"
6037405102,0.699,3909,"latino"
6037405201,0.767,3935,"latino"
6037405202,0.773,3722,"latino"
6037405203,0.685,2030,"latino"
6037405301,0.652,2020,"latino"
6037405302,0.7,4046,"latino"
6037405400,0.761,3762,"latino"
6037405500,0.638,4141,"latino"
6037405600,0.653,3776,"latino"
6037405701,0.608,2495,"latino"
6037405702,0.628,3359,"latino"
6037405800,0.679,3937,"latino"
6037405900,0.647,2756,"latino"
6037406000,0.617,3366,"latino"
6037406101,0.647,2035,"latino"
6037406103,0.692,5668,"latino"
6037406201,0.679,2511,"latino"
6037406300,0.358,2304,"latino"
6037406413,0.588,3807,"latino"
6037406500,0.498,3407,"latino"
6037406601,0.517,2648,"latino"
6037406602,0.674,3391,"latino"
6037406701,0.652,2219,"latino"
6037571201,0.295,1156,"latino"
6037571202,0.235,940,"latino"
6037571300,0.334,1467,"latino"
6037571400,0.345,1682,"latino"
6037571502,0.305,1541,"latino"
6037571504,0.325,1672,"latino"
6037571505,0.475,1496,"latino"
6037571600,0.317,729,"latino"
6037571701,0.633,4304,"latino"
6037571703,0.614,2080,"latino"
6037571704,0.644,2509,"latino"
6037571800,0.289,955,"latino"
6037571900,0.304,1726,"latino"
6037572001,0.258,1617,"latino"
6037572201,0.477,2649,"latino"
6037572202,0.354,1195,"latino"
6037572301,0.702,2671,"latino"
6037572500,0.361,1329,"latino"
6037572600,0.517,2545,"latino"
6037572700,0.448,2402,"latino"
6037573002,0.701,2428,"latino"
6037573003,0.435,789,"latino"
6037573004,0.539,2683,"latino"
6037573101,0.521,2388,"latino"
6037573102,0.615,1719,"latino"
6037573201,0.667,2949,"latino"
6037573202,0.57,3810,"latino"
6037573300,0.444,1866,"latino"
6037573401,0.368,574,"latino"
6037573402,0.455,3205,"latino"
6037573403,0.177,562,"latino"
6037573601,0.223,1413,"latino"
6037573700,0.303,1569,"latino"
6037573800,0.187,815,"latino"
6037573902,0.222,447,"latino"
6037574000,0.197,1021,"latino"
6037574100,0.182,951,"latino"
6037574201,0.127,392,"latino"
6037574202,0.345,820,"latino"
6037574300,0.231,1428,"latino"
6037574400,0.165,955,"latino"
6037574500,0.181,1230,"latino"
6037574602,0.13,170,"latino"
6037574800,0.163,510,"latino"
6047001501,0.664,1659,"latino"
6047001502,0.935,2162,"latino"
